fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Loma Bella Carabayllo
Carabayllo, Lima"|S/ 142,000 · USD 40,000|142000|40000|||"66 m² tot.
2 dorm.
1 baño"|66|2|||Contacto pedro naldos telefono 9. 9. 6. 5. 9. 7. 4. 4. 6. ¡Oportunidad única en Urb. Esmeralda, Carabayllo! ¿Buscas un departamento acogedor, bien ubicado y listo para mudarte? ¡Este es para ti! Departamento de 66 m² en excelente estado, con distribución funcional y muy buena iluminación natural. Ubicado en una zona tranquila y segura, cerca del Centro de Salud San Pedro, colegios, parques, restaurantes y hoteles. Todo lo que necesitas, ¡a solo unos pasos! Características destacadas: • Ubicación estratégica en Urb. Esmeralda – Carabayllo • Ambientes iluminados y ventilados • Sala comedor con vista a la calle • Cocina equipada con muebles altos y bajos • Área de lavandería independiente • 1 baño completo • 2 cómodos dormitorios El edificio es de solo 4 pisos, con tan solo 8 años de antigüedad, ideal para quienes buscan un entorno residencial tranquilo y moderno. Ideal para vivir o invertir, ya que la zona tiene alta demanda y crecimiento urbano. ¡No dejes pasar esta oportunidad! Coordina tu visita hoy mismo y enamórate de tu próximo hogar.|https://www.adondevivir.com/propiedades/clasificado/veclapin-urb.-esmeralda-carabayllo-venta-bonito-departamento-de-147791703.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=1|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Calle 19 Lote 1 Urb. Santo Domingo Etapa 10
Santo Domingo, Carabayllo"|S/ 244,800 · USD 68,000|244800|68000|||"89 m² tot.
3 dorm.
2 baños
1 estac."|89|3|2|1|Exclusivos depas en carabayllo¡La cocina de tus sueños está aquí, y sí, viene con el depa incluido! Este edificio de estreno con concepto minimalista, cuenta con los depas más elegantes de Santo Domingo =D*Ubicado muy cerca del cruce de las Av. Trapiche y Av. U, accesible para encontrar buses de la línea El Rápido, Salamanca etc. *A tan sólo 5 min de la estación Chimpuocllo del Metropolitano*Edificio al lado de un lindo parque*Cerca a muy buenos colegios: Bertold Bretch, Innova School, entre otros. Área: 89. 5m2distribución: -Cocina super amplia: amoblada de piso a techo, con muebles de melamina antihumedad y encimeras con placas de cuarzo blanco, lavadero en acero inoxidable, estufa empotrada y campana extractora+ gas natural-Sala y comedor amplia con ventanas grandes, pisos en porcelanato gris claro- 3 dormitorios con closets(dormitorio principal con baño) -Lavandería con punto para terma-2 baños completos (ducha con puertas de vidrio templado) y grifería de la mejor calidadSobre el edificio: *Cada departamento tiene partida registral independizada en Sunarp*Urbanización con vigilancia las 24hrs*Construcción reforzada antisísmica (placas de concreto y fierro) *Escaleras anchas y descansadas*Edificio de 5 pisosPrecios: 2do piso = $71, 0003er piso = $70, 0004to piso = $69, 0005to piso =$68, 000Cochera en sótano= $10, 000(tc 3. 60) *Accede al Bono mi vivienda*¡No dejes pasar esta oportunidad y agenda tu visita! Contacto: Daisy Díaz *927*682*707*-|https://www.adondevivir.com/propiedades/clasificado/veclapin-depa-estreno-urb.-santo-domingo-etapa-10-carabayllo-148026492.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=2|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Condominio Real Torre A3 Piso 3
Santa Ines, Carabayllo"|S/ 112,000|112000||||"55 m² tot.
3 dorm.
1 baño"|55|3|||Departamento en Venta – Condominio Real, Carabayllo&amp;gt;&amp;gt;&amp;gt; Excelente ubicación en la misma Av. Juan de Dios y a solo 5 min del Óvalo de Puente Piedra. &amp;gt;&amp;gt;&amp;gt; Excelente precio a tan sólo 112, 000 solesDescubre este acogedor departamento de 55 m² ubicado en un tercer piso dentro del tranquilo y seguro Condominio Real en Carabayllo. **Cuenta con 2 habitaciones medianas, 1 estudio ideal para home office o cuarto adicional**Sala-comedor bien iluminada con vista al parque**Cocina independiente**1 Baño completo&amp;gt;&amp;gt;&amp;gt; El condominio ofrece vigilancia 24/7, amplias áreas verdes, lindos parques con juegos para niños y un ambiente familiar y muy tranquilo. ¡Perfecto para quienes buscan comodidad, seguridad y buena ubicación! No esperes más y ten tu propio espacio&amp;gt;&amp;gt;agenda tu cita con Daisy Díaz al 927//682//707//-|https://www.adondevivir.com/propiedades/clasificado/veclapin-depa-en-carabayllo-condominio-real-torre-a3-147968076.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=3|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Urb. Santo Domingo Etapa 10, Carabayllo
Santo Domingo, Carabayllo"|S/ 252,000 · USD 70,000|252000|70000|||"88 m² tot.
3 dorm.
2 baños
1 estac."|88|3|2|1|Exclusivos depas en carabayllo¡Ideal para familias que gustan de espacios amplios y elegantes! Este edificio de estreno con concepto minimalista, cuenta con los depas más elegantes y con una hermosa vista al parque de Santo Domingo =D*Ubicado muy cerca del cruce de las Av. Trapiche y Av. U, accesible para encontrar buses de la línea El Rápido, Salamanca etc. *A tan sólo 5 min de la estación Chimpuocllo del Metropolitano*Edificio al lado de un lindo parque*Cerca a muy buenos colegios: Bertold Bretch, Innova School, entre otros. Depas frente a parque (disponible 4to piso) Área: 88m2distribución: -Cocina amoblada de piso a techo, con muebles de melamina antihumedad y encimeras con placas de cuarzo blanco, lavadero en acero inoxidable, estufa empotrada y campana extractora/ gas natural-Sala y comedor amplia con ventanas grandes, pisos en porcelanato gris claro- 3 dormitorios con closets(dormitorio principal con baño) -Lavandería con punto para terma-2 baños completos (ducha con puertas de vidrio templado) Sobre el edificio: *Cada departamento tiene partida registral independizada en Sunarp*Urbanización con vigilancia las 24hrs*Construcción reforzada antisísmica (placas de concreto y fierro) *Escaleras anchas y descansadas*Edificio de 5 pisosPrecio: 4to piso = S/. 252, 000Cochera en sótano = S/. 36, 000(tc 3. 60) *Accede al Bono mi vivienda*¡No dejes pasar esta oportunidad y agenda tu visita! Contacto: Daisy Díaz *927*682*707*|https://www.adondevivir.com/propiedades/clasificado/veclapin-depa-en-estreno-santo-domingo-de-carabayllo-148026477.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=4|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Urb. Santo Domingo Etapa 10, Carabayllo
Carabayllo, Lima"|S/ 244,800 · USD 68,000|244800|68000|||"92 m² tot.
2 dorm.
2 baños
2 estac."|92|2|2|2|Exclusivos depas en carabayllo¡La cocina de tus sueños está aquí, y sí, viene con el depa incluido! Este edificio de estreno con concepto minimalista, cuenta con los depas más elegantes de Santo Domingo =D*Ubicado muy cerca del cruce de las Av. Trapiche y Av. U, accesible para encontrar buses de la línea El Rápido, Salamanca etc. *A tan sólo 5 min de la estación Chimpuocllo del Metropolitano*Edificio al lado de un lindo parque*Cerca a muy buenos colegios: Bertold Bretch, Innova School, entre otros. depa 1er piso C/ patioárea: 92. 5m2distribución: -Cocina super amplia: amoblada de piso a techo, con muebles de melamina antihumedad y encimeras con placas de cuarzo blanco, lavadero en acero inoxidable, estufa empotrada y campana extractora+ gas natural-Sala y comedor amplia con ventanas grandes, pisos en porcelanato gris claro- 2 dormitorios con closets(dormitorio principal con baño) -Lavandería con punto para terma-Patio/Jardín trasero-2 baños completos (ducha con puertas de vidrio templado) y grifería de la mejor calidadSobre el edificio: *Cada departamento tiene partida registral independizada en Sunarp*Urbanización con vigilancia las 24hrs*Construcción reforzada antisísmica (placas de concreto y fierro) *Escaleras anchas y descansadas*Edificio de 5 pisosPrecio: $68, 000 dólares (tc 3. 60) Cochera independiente en sótano-14m2: $10, 000*Bono mi vivienda*¡No dejes pasar esta oportunidad y agenda tu visita! Contacto: Daisy Díaz *927*682*707*|https://www.adondevivir.com/propiedades/clasificado/veclapin-los-depas-mas-exclusivos-en-santo-domingo-carabayllo-148026614.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=5|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Condominio Real, Carabayllo
San Antonio, Carabayllo"|S/ 133,000 · USD 38,000|133000|38000||75|"66 m² tot.
3 dorm.
2 baños"|66|3|2||Depa en venta - condominio real, carabaylloubicado en la misma Av. San Juan de Dios, a solo 5 minutos del óvalo Puente Piedra, cuenta con bastantes áreas verdes, juegos para niños, y vigilancia 24/7 para la tranquilidad que tanto anhelas. Área: 66. 4m2 / Piso: 4*distribución: -3 habitaciones-2 baños completos-Cocina con reposteros altos y bajos /gas natural-Sala comedor con lindo balcón con vista al parque-Espacio para lavanderíaEl condominio cuenta con: -Seguridad las 24 hrs-Intercomunicador-Áreas comunes: 2 parques, juegos para niños, zona de ejercicios. Precio: $38, 000 (dólares) o S/. 133, 000No dejes pasar esta oportunidad y contáctame ya al Ver datos Daisy Díaz/|https://www.adondevivir.com/propiedades/clasificado/veclapin-depa-3-habitaciones-condominio-real-147529244.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=6|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"los molinos CARAYLLO
San Pedro, Carabayllo"|S/ 125,000 · USD 35,000|125000|35000|||"75 m² tot.
3 dorm.
2 baños"|75|3|2||Remato edificio O dptos estreno molinos ii carabayllo. El edificio de 4 pisos mas azotea, cuenta con 1 departamento por piso, cerca a parques, tiendas, urbanización los molinos ii distrito de Caraballo. primer piso ao 85 m2, incluido estacionamiento. 40 mil dólares (2 Dormitorios) segundo piso ao 75 m2 ….. 35 mil dólares. tercer piso ao 75 m2 …. 35 mil dólares. cuarto piso ao 75 m2.. …. 35 mil dólares. azotea. 75M2. 18 mil dolares. y por todo el edificio se aceptan propuestas. Descripción de cada departamento: * 3 Dormitorios. * Dormitorio principal con baño con balcón. * 2 Baños. * Sala - Comedor. * Lavandería. * Cocina con concepto cerrado, con reposteros altos y bajos. * Con ventanas amplias y buena iluminación. * Los departamento cuenta con balcón mampara de vidrio. Disponibilidad.|https://www.adondevivir.com/propiedades/clasificado/veclapin-carabayllo-vendo-ocasion-dptos-147489283.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Urb. Esmeralda 1 Etapa
Carabayllo, Lima"|S/ 187,000 · USD 55,000|187000|55000|||"109 m² tot.
3 dorm.
2 baños
1 estac."|109|3|2|1|Venta de departamento en urb. Esmeralda 1 etapa de estreno -carabayllovive con estilo, luz natural y ambiente tranquilodisponible- 1piso de 109M2 con cochera $55, 000- 5 piso aires con dos habitaciones A $35, 000 Características del departamento: * 3 habitaciones con excelente iluminación* Sala–comedor amplia y moderna* Cocina abierta estilo americano * 2 baños completo* Edificio es sin ascensor* De estreno: acabados premiumUn espacio pensado para quienes buscan comodidad y diseñokv-16A|https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-flat-148547381.html?n_src=Listado&n_pg=1&n_pos=8|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Mz W 29
Santo Domingo, Carabayllo"|S/ 269,500 · USD 77,000|269500|77000|||"120 m² tot.
3 dorm.
2 baños
1 estac."|120|3|2|1|Venta de departamento en Carabayllo Un bello departamento con todo lo que necesitas para vivir cómodo, tranquilo y cerca de las avenidas principales. Carabayllo – Urb. Santo Domingo, 5ta Etapa. at: 120 m²-Cochera, -Oficina-3 habitaciones, -2 baños-Cocina cerrada y una sala–Comedor súper iluminada, -Frente al parque… y por soloPrecio: $77, 000? No dejes pasar esta oportunidad… Carabayllo te espera rv-09|https://www.adondevivir.com/propiedades/clasificado/veclapin-casa-santo-domingo-148296302.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=9|2026-01-05
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"4xm2+qf6, Carabayllo 15121
San Antonio, Carabayllo"|S/ 230,299 · USD 62,000|230299|62000|||"120 m² tot.
4 dorm.
2 baños"|120|4|2||"Departamento con cochera de 120 m2 en venta ubicado en Urb. San Antonio de Carabayllo con cochera, y espacio exclusivo en terraza cada una independizada, más áreas comunes. 3 dormitorios | 2 baños | 1 Estudio | Sala comedor | Cocina cerrada + área de lavandería | Terraza privada | Piso 3 caracteristicas de la propiedad: - Área total: 120 m2 - Dormitorio principal con closet y baño privado. - 2 dormitorios secundarios - 1 sala de estudio (puede funcionar como 4ta habitación) - Sala comedor con vista externa y pequeño balcón - Una amplia cocina independiente con muebles altos y bajos (Horno, encimera y campana) y lavandería con terma. - Espacio para terraza exclusivo con su propio baño y ducha. Con áreas comunes para parrillas y lavandería. Caracteristicas del condominio: - Ubicado en el piso 3 - 6 años de antigüedad del edificio - Gas natural y Therma - Cuenta con 5 pisos en total + terraza caracteristicas de la zona: - Cerca a parques - Cerca a colegios como el Innova Schools - A 7 minutos de la panamericana norte y la Av. Tupac Amaru - A 5 minutos de restaurantes como polleria Norkys, entre otros. - A 5 minutos de Plaza Vea y maestro. *Estacionamiento por $10, 000* (Único del edificio) ¡Construyendo tus sueños! Evita el estrés, nosotros vendemos tu propiedad Encuéntranos por las redes sociales como &#39;&#39;grupo rentabilizarme&#39;&#39;"|https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-en-carabayllo-con-cochera-145329134.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=10|2026-01-05
