fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|casas|venta|Lima Centro|Lima Cercado|"Jr. Cangallo 217
Lima Cercado, Lima"|S/ 905,550 · USD 250,000|905550|250000|||"106 m² tot.
12 dorm.
12 baños"|106|12|12||Contacto: jhohanna urbina cel: 9*7*8*1*7*5*6*6*0 Edificio en Venta en el Cercado de Lima – Ideal para Inversionistas. Descripción: Oportunidad única para inversionistas en una de las zonas más céntricas de Lima. Este edificio de 4 pisos, ubicado a 1 cuadra de Plaza Italia, cuenta con un total de 12 monoambientes (4 por piso), ofreciendo una excelente rentabilidad. Perfecto para alquiler de habitaciones o depósitos, dada su cercanía a Mesa Redonda, Barrio Chino, Mercado Central y avenidas principales como: La Av. Abancay, La Vía de Evitamiento y la Av. Miguel Grau. Características: Terreno total: 105. 54 m² Edificio de 4 pisos 12 monoambientes: Cada uno con espacio para dormitorio, baño completo y área de cocina/sala. Ubicación estratégica: En el corazón del Cercado de Lima, cerca de centros comerciales, colegios y servicios. Ventajas: Alta demanda de alquileres en la zona. Estructura sólida y moderna, lista para generar ingresos. Documentación en regla y lista para la venta. ¡No dejes pasar esta oportunidad de inversión en una de las mejores zonas de Lima! ¡Contáctanos para más información y agenda una visita ya! Contacto: jhohanna urbina cel: 9*7*8*1*7*5*6*6*0 id: 1*1*1*3*3*8*6|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-5-a-mas-dormitorios-145565882?n_src=Listado&n_pg=1&n_pos=1|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"LOS CIPRESES
Los Cipreses, Lima Cercado"|S/ 1,522,500 · USD 434,990|1522500|434990|||"290 m² tot.
3 baños
3 estac."|290||3|3|Hermosa Casa de un (1) piso Lista Para Vivir Acabados A1 Parámetros 5 Pisos + Azotea 3 Cocheras. Te presento esta hermosa propiedad de 1 piso totalmente lista para vivir con parámetros urbanísticos y edificatorios para construir hasta 5 pisos más azotea. Esta propiedad presenta moderna fachada con carpor en madera y puerta principal de acceso. Al ingresar a esta propiedad nos encontramos hacia lado derecho amplia cochera para dos vehículos y hacia el lado izquierdo amplio jardín delantero que en ocasiones puede suplir una tercera cochera momentánea si se desea ingresando por la puerta principal nos condice a ampla sala sumamente ornado con detalles únicos el cual descubrirán al venir a apreciar la casa seguidamente con encontramos con elegante comedor de muy buen tamaño con muchos detalle, hacia el lado derecho de la sala tenemos acceso hacia amplia cocina con muebles altos y bajos con comedor de diario que conecta hacia la izquierda de este con área independiente de lavandería cuarto y baño de servicio y área de tendal todos estos espacio muy amplio con salida hacia jardín delantero. Continuando con la distribución nos encontramos con largo pasadizo el cual presenta hacia lado izquierdo de este dos amplios dormitorios y hacía de derecha un baño amplio y otro dormitorio adicional igualmente de grande en la parte final de dicho pasadizo nos encontramos con amplio dormitorio con baño incluido y closet y hacia el lado derecho encontramos un patio interno abierto y en su parte final un amplio cuarto para oficina o de múltiples usos. Se cuenta con acceso a l segundo piso donde existe construcción de un cuarto más un baño. Todos los pisos del área social y cocina son de porcelanato y los dormitorios y cuarto interno en madera parqué area de terreno 290. 00 M2. area construida 250. 00 M2. medidas perimetricas: por el frente: 10. 00 ml. por la derecha: 29. 00 ml. por la izquierda: 29. 00 ml. por el fondo: 10. 00 ml. Inmejorable ocasión para optar por una amplia casa y realizar el proyecto que siempre deseaste ya que esta propiedad es un lienzo en blanco dándote la oportunidad de edificar hasta 5 pisos más azotea rentabilizando enormemente lo invertido.! Dale a tu familia ese gran lugar que siempre deseaste ¡ No dejes que te ganen, contáctate con nuestro broker Richard Obando al 9. 9. 1. 0. 6. 4. 8. 7. 3 y separa tu cita ahora mismo|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-los-cipreses-lima-cercado-147729046?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=2|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"Jiron Jose Eugenio Paredes al 2300
Elio, Lima Cercado"|S/ 1,102,000 · USD 299,500|1102000|299500|||"380 m² tot.
6 dorm.
6 baños
1 estac."|380|6|6|1|"Jirón José Eugenio Paredes, Urb. Elio – Cercado de LimaPrecio de lanzamiento: us$ Ver datos (negociable) Casa de 4 niveles sobre 179 m² de terreno y? 320 m² construidos, frente de 8, 10 m y zonificación rdm. Título limpio sin cargas. Antigüedad original 1972 con remodelaciones parciales en instalaciones eléctricas y sanitarias. Distribución generalPrimer piso: cochera techada, dos salas principales, medio baño de visitas, cocina independiente y tercera sala-comedor con techo alto de cedro ideal para reuniones familiares. Segundo piso: balcón frontal, cuatro dormitorios (principal con baño incorporado), un baño completo compartido. Tercer piso: gran terraza-patio, lavandería, sala-comedor, cocina y un baño completo (funciona como mini-departamento independiente). Cuarto piso: dos dormitorios de servicio con dos baños (convertibles en depósito, estudio, etc.). Detalles destacados6 dormitorios + área de servicio | 5 ½ baños | 1 cochera con opción a ampliar. Balcón y ventilación cruzada en todos los dormitorios. Sala-comedor tipo azotea con tragaluz y escalera caracol metálica. Pisos de parquet restaurado en ambientes sociales. Calle tranquila a 150 m de Av. Colonial y 350 m de Av. Argentina; rápida salida a la Vía Expresa Línea Amarilla y Metropolitano. “Honestidad, Transparencia y Servicios Creativos. Nuestros pilares para brindarles la mejor asesoría inmobiliaria. ”Si desea vender o alquilar su inmueble no dude en contactarse con nosotros."|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-elio-lima-cercado-5-a-mas-dormitorios-146873738?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"Av. Arica 2340
Chacra Rios, Lima Cercado"|S/ 3,688,960 · USD 1,048,000|3688960|1048000|||"621 m² tot.
6 dorm.
4 baños
6 estac."|621|6|4|6|Venta casa cercado de lima de 621. 60M2 $1, 048, 000 Av. Arica Ver datos at: 621. 60M2 ac: 527. 76M2 Persona de Contacto Rosa Esquerre 9. 8. 1. 2. 1. 0. 0. 2. 1. Zonificación Referencial: cz - Comercio Zonal. Según Plano de Zonificación del Instituto Metropolitano de Planificación. Amplia propiedad ubicada en plena Av. Arica, ideal para vivienda, negocio u oficinas gracias a su excelente distribución y al local comercial con ingreso independiente en la fachada. Inmueble de dos pisos ocupado como vivienda en su parte delantera y taller de un piso y azotea, en su parte posterior. Distribución: Edificación delantera • Primer piso: sala, comedor, medio baño, cocina con comedor de diario, terraza, patio y cochera. En la parte frontal se encuentra un local comercial con baño, ideal para negocio propio o renta. • Segundo piso: hall, tres dormitorios (dos contiguos), un baño completo, depósito y patio. • Azotea: cuarto y baño de servicio. Edificación posterior • Primer piso: recepción, oficina con baño, área de impresión, depósito, almacén, oficina adicional, baños y vestuario de personal. • Azotea: guardianía y depósito. Beneficios destacados: • Terreno amplio de 620 m². • Versatilidad para uso residencial, comercial o empresarial. • Ubicación estratégica en el Cercado de Lima, con alta conectividad. • Cochera para 6 autos • Estado del Inmueble: bueno documentacion en regla. Persona de Contacto: Rosa Esquerre 9. 8. 1. 2. 1. 0. 0. 2. 1.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-chacra-rios-lima-cercado-5-a-mas-dormitorios-148083668?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=4|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"Jose Felix Bogado 2568
Lima Cercado, Lima"|S/ 1,028,500 · USD 275,000|1028500|275000|||"136 m² tot.
9 dorm.
3 baños
2 estac."|136|9|3|2|"Amplia casa remodelada en cercado de lima: comodidad Y ubicación privilegiada. Si buscas una casa espaciosa, remodelada y lista para habitar, ¡esta es tu oportunidad! Con una ubicación estratégica y en una zona residencial tranquila, esta propiedad te brinda conectividad, amplitud y comodidad para toda tu familia. Área total: 136 m² | Área construida: 351. 92 m² Distribución ideal en 3 pisos: 1er piso: Sala comedor, amplia cocina cerrada, baño de visita, patio interno y cochera para 2 autos. 2do piso: 3 dormitorios remodelados con acabados modernos y 2 baños completos. 3er piso: 5 dormitorios adicionales, área de lavandería y 1 baño completo. Remodelada en 2015 y en excelente estado, con conexiones de agua, luz, gas natural y cable listas para su uso. Además, su cercanía a un parque familiar la convierte en el hogar perfecto. Ubicada en una de las mejores zonas del Cercado de Lima, con acceso rápido a vías principales. ¡No dejes pasar esta oportunidad! Contáctame para más información y agenda tu visita hoy mismo. #CasaEnVenta #HogarIdeal #CercadoDeLima #OportunidadÚnica"|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-5-a-mas-dormitorios-144615762?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=5|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"Jr. Yauli
Lima Cercado, Lima"|S/ 813,120 · USD 231,000|813120|231000|||"100 m² tot.
10 dorm.
4 baños
1 estac."|100|10|4|1|Casa de 100 M2 terreno, que consta de 2 dptos (1ero y 2do piso) 3er piso 4 cuartos Y 4to piso 1 cuarto. Vendo mi inmueble de 4 pisos (solo una partida registral) de 100m2 aprox. De terreno, consta de dos departamentos, el primer piso y el segundo piso, en el tercero hay construido cuatro cuartos con un baño común, y en el cuarto piso hay una cuarta construcción que es un cuarto de material prefabricado. Lo que era la cochera se ha hecho los trámites ante la municipalidad como local comercial, de modo que, se podría usar como una renta, así como también el segundo, el tercer y el cuarto piso y viviendo solo en el primer piso. En total el inmueble cuenta con 10 dormitorios y 4 baños. Para cualquier duda o pregunta mi contacto es 9. 8. 9. 0. 2. 7. 1. 8. 9. Mi nombre es Martín.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-5-a-mas-dormitorios-142660408?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=6|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"BUENAVENTURA SEPULVEDA
Los Cipreses, Lima Cercado"|S/ 1,520,000 · USD 454,000|1520000|454000|||"400 m² tot.
5 dorm.
2 baños
10 estac."|400|5|2|10|Contacto: erika herrick. celular: 9. 8. 6. 6. 4. 4. 6. 3. 0. casa / empresa. $ 454, 000 usd. 400 m² sepulveda urbanizacion los cipreses. casa tres plantas. 5 dormitorios comercial u oficinas. ubicado cerca Colonial. 10 cocheras. 5 dormitorios. 5 baños. terraza. patio. A cuadras de la Av. Colonial, Av. Argentina tres plantas. calle tranquila cerca A parque. Documentos en regla. contacto: erika herrick. celular: 9. 8. 6. 6. 4. 4. 6. 3. 0|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-los-cipreses-lima-cercado-5-a-mas-dormitorios-4479809?n_src=Listado&n_pg=1&n_pos=7|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"angel valenzuela lima
Las Brisas, Lima Cercado"|"S/ 834,000 · USD 249,000
8%"|834000|249000|8%||"123 m² tot.
6 dorm.
3 baños
1 estac."|123|6|3|1|Casa de 3 pisos. Separada en 3 departamentos, 1 departamento por piso, totalmente independientes. Cada piso tiene su propio medidor de luz y agua. Ideal para quien busca vivir y generar rentas de alquiler. Super ubicada entre la Plaza de la Bandera y la U Catolica y a 5 minutos de la U San Marcos. Primer piso, 2 habitaciones, 1 baño completo, sala comedor, cocina, cuarto y baño de servicio, lavanderia patio interno y cochera. Segundo piso, 2 habitaciones, 1 baño completo, sala comedor, lavanderia, cocina. Tercer piso, 2 habitaciones, 1 baño, cocina, sala comedor. Primer y segundo piso tienen coneccion de gas calida. Precio us$253, 000. 00 (precio en dolares)|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-las-brisas-lima-cercado-5-a-mas-dormitorios-147796804?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=8|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"Calle Los Pinos Mz. G Lt. 8 Huertos
Lima Cercado, Lima"|S/ 3,644,375 · USD 1,062,500|3644375|1062500|||"6250 m² tot.
4 dorm.
4 baños
2 estac."|6250|4|4|2|Contacto: isabel leandro // cel: 955*174*191. El terreno se encuentra ubicado a 1 cuadra de la Av. Antigua Panamericana Sur y a 10 minutos de la Nueva Panamericana. Sur de alto tránsito vehicular y peatonal, rodeado de fábricas, industrias, grifos, restaurantes campestres, víveros, a 3 minutos. del Banco bcp, a 5 minutos del muna (Museo Nacional del Perú) y Santuario Arqueológico de Pachacamac, a 5 minutos de. Plaza Vea de Lurín, Bcos: bbva, Interbank, Banco de La Nación, CrediScotia, Scotiabank, Cajas Financieras, Municipalidad. de Lurín y Municipalidad de Pachacamac, Mercados, Catedral, Hospital, Centro Materno Infantil, estación de bomberos, Reniec, colegios, Universidades, playas, etc. Ideal para fábricas, almacén, depósito, Invernaderos, talleres, fábrica de muebles, colchones, etc. -Documentos saneados y único propietario, inscritos en la sunarp listos para Crédito Hipotecario. -Libre de hipoteca, carga y gravamen. Precio: $ 185 x m² ( negociable) A. T. Total: 6, 250 m² Comprenden: a) parcela 8: 4, 250 m2. b) parcela 8A 2, 000 m2. Se encuentran independizados c/u ficha registral cada terreno. A. C. 140 m² casa de campo. El terreno consta de: - Luz eléctrica, teléfono, red de cable e internet que deben ser activados. - 1 pozo de agua subterránea. en funcionamiento. - Silo de pozo séptico. Proyecto del agua Y desague en trámite|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-4-dormitorios-147893997?n_src=Listado&n_pg=1&n_pos=9|2025-12-08
urbania|casas|venta|Lima Centro|Lima Cercado|"Luis Agurto 154
Lima Cercado, Lima"|S/ 1,128,950 · USD 335,000|1128950|335000|||"242 m² tot.
6 dorm.
3 baños
1 estac."|242|6|3|1|¡Tu nuevo hogar frente al parque! Comodidad, vista y ubicación ideal. Disfruta de la tranquilidad y el confort que solo una casa frente a parque puede ofrecer. Ubicada en una zona estratégica, paralela a la Av. Venezuela, esta propiedad combina una excelente ubicación con amplios y luminosos espacios ideales para tu familia. En el primer piso, encontrarás una acogedora y amplia sala con vista al parque, perfecta para compartir momentos especiales, además de un hermoso jardín donde podrás relajarte y disfrutar del aire libre. En el segundo piso, te espera otra sala con una vista panorámica al parque, el espacio ideal para descansar o disfrutar en familia con total comodidad. Además, cuenta con un ingreso independiente al segundo piso, lo que la convierte en una gran oportunidad de inversión, ya sea para vivir y alquilar una parte, o adaptarla según tus necesidades. Una propiedad que lo tiene todo: ubicación, amplitud, independencia y una vista inmejorable. ¡Haz de esta casa el hogar que siempre soñaste!|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-lima-cercado-lima-5-a-mas-dormitorios-148123636?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=10|2025-12-08
